Metal Atom,Atomic Mass of Metal,Support Material,Support Material Class,Metal Loading,Coord Env,Coord Num,Initial Conc of Catalyst,Normalised Conc of Catalyst,Pollutant,Pollutant Code,Pollutant Class,Molar Mass of Pollutant,Initial Conc of Pollutant,Normalised Conc of Pollutant,Initial Conc of Oxidant,Normalised Conc of Oxidant,Oxidant,Has non-rad,Has SO4,Has OH,Has O2,Has 1O2,Has h+,Rate Constant,Normalised Rate Constant,Degradation Efficiency,Experiment Time,Turnover Rate,Log(TOF),Pollutants degraded per min,Power of Light,Power of Light Class,Catalyst Reusablility,Reusablilty Cycles,Retention Per Cycle,Log_retention,AOP technique,DOI
Silver,107.87,Carbon Nitride,Carbon Nitride,0.53%,N,,200,-0.027,Tetracycline,TC,Antibiotic,444.43,20,0.06,0,-0.847,No Oxidant,0,0,1,1,0,0,0.04422,0.12,100%,60,0.076326,-1.117,0.000750024,300W Xe lamp,High (>300W),95%,5,0.98726,-0.00557,Photocatalysis,10.1039/d1qi01138c
Iron,55.845,Carbon Nitride,Carbon Nitride,0.30%,N,5.5,300,0.411,Atrazine,ATZ,Pesticide,215.68,2.5,-0.752,302,0.467,PMS,1,1,1,1,1,1,0.13,0.023,80%,15,0.038359,-1.416,0.0006182,300W Xe lamp,High (>300W),73%,5,0.92434,-0.03417,Photo-PMS,10.1016/j.cej.2024.156625
Copper,63.546,Crystalline Carbon Nitride (Cu-CCN),Carbon Nitride,0.28%,N,3,333,0.555,Bisphenol A,BPA,Phenolic,228.29,20,0.06,40,-0.673,PMS,0,1,1,1,1,1,0.14,0.02,100%,25,0.23883,-0.622,0.003504315,300W Xe lamp,High (>300W),90%,5,0.974,-0.01144,Photo-PMS,10.1016/j.cej.2023.145230
Iron,55.845,Ferrocene Graphite Carbon Nitride (Fc-CN),Carbon Nitride,0.05%,,,100,-0.465,Bisphenol A,BPA,Phenolic,228.29,20,0.06,200,0.023,PMS,1,1,1,1,1,1,0.053,0.009,100%,60,1.63082,0.212,0.001460131,300W Xe lamp,High (>300W),95%,5,0.98726,-0.00557,Photo-PMS,10.1016/j.seppur.2023.124192 
Copper,63.546,Mxene (Ti3C2),Carbon,0.26%,O,5.2,500,1.286,Sulfamethoxazole,SMX,Antibiotic,253.28,15,-0.172,228,0.145,PMS,1,1,1,1,1,0,0.0485,0.054,97%,60,0.046801,-1.33,0.000957438,No Light,No Light,95%,5,0.98726,-0.00557,PMS,10.1016/j.eng.2023.07.020
Copper,63.546,O-doped Graphite Carbon Nitride (g-C3N4),Carbon Nitride,2.46%,N,,1000,3.476,Carbamazepine,CBZ,Pharmaceutical,236.27,2.36,-0.759,5.65,-0.822,PMS,1,0,0,1,1,1,,NIL,97.80%,35,0.000721,-3.142,0.000279109,300W Xe lamp,High (>300W),100%,6,1,0,Photo-PMS,10.1016/j.apsusc.2023.158290
Copper,63.546,Graphite Carbon Nitride (g-C3N4) and Mxene (Ti3C2) heterojunction,Heterostructure,0.09%,N,3,500,1.286,Ciprofloxacin,CIP,Antibiotic,331.34,10,-0.404,775,2.525,PMS,1,1,1,1,1,1,0.68,0.001,88.76%,150,0.025219,-1.598,0.000178588,300W Xe lamp,High (>300W),80%,7,0.96349,-0.01615,Photo-PMS,10.1016/j.surfin.2025.108153 
Silver,107.87,Cyclized Polyacrylonitrile,Carbon,0.03,N,,600,1.724,4-NitroPhenol,4NP,Phenolic,139.11,20,0.06,40,-0.673,PMS,0,1,1,0,0,0,0.069,0.435,100%,60,0.01436,-1.843,0.002396185,150W Xe lamp,Medium (50-300W),89%,6,0.97696,-0.01012,Photo-PMS,10.1007/s10904-024-03171-8
Cobalt,58.933,Carbon Nitride,Carbon Nitride,0.52%,N,4,200,-0.027,Bisphenol A,BPA,Phenolic,228.29,10,-0.404,76,-0.516,PMS,1,0,0,1,1,0,0.0662,0.079,95%,40,0.058952,-1.229,0.001040343,No Light,No Light,82%,5,0.9516,-0.02155,PMS,10.1016/j.cej.2022.135002 
Barium,137.33,Carbon Nitride,Carbon Nitride,1.78%,N,1,400,0.848,Carbamazepine,CBZ,Pharmaceutical,236.27,1,-0.822,0,-0.847,No Oxidant,0,0,1,1,1,0,0.0485,0.367,100%,60,0.001361,-2.866,7.05E-05,300W Xe lamp,High (>300W),80%,5,0.94574,-0.02423,Photocatalysis,10.1016/j.jhazmat.2021.125936
